"species_code","score","start_offset_sec","end_offset_sec"
"reevir1",0.9982819,3,6
"norcar",0.5931944,27,30
"cedwax",0.9947066,28,31
"yetvir",0.68061817,149,152
"woothr",0.99999946,185,188
"buggna",0.26925144,405,408
"rebwoo",0.8582902,730,733
"brdowl",0.9969209,887,890
"tuftit",0.47259334,910,913
"veery",0.76460314,1176,1179
"eawpew",0.9965975,1281,1284
"scatan",0.9985074,1476,1479
"rewbla",0.46011305,1501,1504
"ovenbi1",0.9455904,1555,1558
"amerob",0.44801334,1574,1577
"amecro",0.90940607,1636,1639
"rthhum",0.99927646,1637,1640
"houwre",0.91053694,1663,1666
