"species_code","score","start_offset_sec","end_offset_sec"
"grycat",0.8162357,4,7
"bkbcuc",0.99940854,11,14
"woothr",0.33465013,13,16
"tuftit",0.41426098,15,18
"mallar3",0.6022677,18,21
"buhvir",0.27453044,23,26
"purfin",0.37469336,24,27
"veery",0.9992723,27,30
"reevir1",0.51371366,31,34
"indbun",0.27164394,31,34
"sonspa",0.80312634,33,36
"amecro",0.36155194,39,42
"pinwar",0.98769915,43,46
"easblu",0.91657114,46,49
"ovenbi1",0.4671275,51,54
"hoomer",0.4015975,57,60
"commer",0.90979105,58,61
"blujay",0.97182184,63,66
"amerob",0.83853346,74,77
"swaspa",0.8831428,81,84
"comyel",0.9092025,83,86
"carwre",0.59088814,84,87
"rewbla",0.98023957,89,92
