"species_code","score","start_offset_sec","end_offset_sec"
"amegfi",0.38879967,1,4
"indbun",0.9999579,24,27
"sonspa",0.9997731,34,37
"mallar3",0.331226,42,45
"rewbla",0.74602073,82,85
"daejun",0.97249645,93,96
"savspa",0.288316,101,104
"chispa",0.96730655,105,108
"blujay",0.99928266,112,115
"houspa",0.93408316,113,116
"nrwswa",0.80473566,130,133
"banswa",0.7604618,131,134
"clcspa",0.9946928,138,141
"fiespa",0.9851166,154,157
"yelwar",0.3379351,155,158
"amerob",0.5664764,159,162
"comyel",0.33290264,198,201
