"species_code","score","start_offset_sec","end_offset_sec"
"dowwoo",0.9880255,132,135
"sonspa",0.44885036,135,138
"norcar",0.85344994,139,142
"bnhcow",0.34140873,141,144
"grcfly",0.79466397,146,149
"carwre",0.9985062,154,157
"pilwoo",0.9984356,165,168
"rethaw",0.3405185,171,174
"ovenbi1",0.99976677,180,183
"woothr",0.9933947,223,226
"whbnut",0.31465527,268,271
"eastow",0.9678427,269,272
"normoc",0.78899825,272,275
"eawpew",0.9948524,296,299
"reevir1",0.34440145,296,299
"scatan",0.30803674,302,305
"rebwoo",0.9510406,312,315
"blujay",0.9956369,344,347
"rewbla",0.4361103,348,351
"amerob",0.9679862,421,424
"buggna",0.3973699,426,429
