"species_code","score","start_offset_sec","end_offset_sec"
"amewoo",0.45443398,239,242
"eawpew",0.9930489,313,316
"chwwid",0.9677789,314,317
"reevir1",0.6976327,314,317
"sonspa",0.31074643,554,557
"eastow",0.9978402,576,579
"carwre",0.72318035,583,586
"easpho",0.42375386,590,593
"ovenbi1",0.2652764,591,594
"woothr",0.2947921,596,599
"wiltur",0.55025524,600,603
"tuftit",0.54791343,601,604
"easwpw1",0.9998328,671,674
"chispa",0.5484542,738,741
"indbun",0.998632,773,776
"norcar",0.36692086,788,791
