"species_code","score","start_offset_sec","end_offset_sec"
"leafly",0.9667068,0,3
"bkcchi",0.4702781,4,7
"ovenbi1",0.99969226,5,8
"reevir1",0.9801153,6,9
"buhvir",0.9802799,9,12
"yetwar",0.29049504,12,15
"eawpew",0.982066,15,18
"rewbla",0.95616895,19,22
"yerwar",0.45899072,30,33
"woothr",0.9697735,39,42
"swathr",0.9938898,41,44
"norcar",0.718277,44,47
"houfin",0.48426625,44,47
"grycat",0.3013894,44,47
"swaspa",0.99561375,45,48
"blujay",0.9635094,53,56
"comyel",0.89956206,53,56
"canwar",0.98365283,54,57
