"species_code","score","start_offset_sec","end_offset_sec"
"btnwar",0.57828784,0,3
"veery",0.5087377,0,3
"blujay",0.7555654,4,7
"eastow",0.7369041,7,10
"grycat",0.9950126,13,16
"bnhcow",0.63111573,17,20
"grbher3",0.40977713,17,20
"yelwar",0.8190625,18,21
"amecro",0.44987255,21,24
"chispa",0.35485193,21,24
"tuftit",0.5338684,27,30
"amegfi",0.67161065,30,33
"norcar",0.8733456,31,34
"fiespa",0.80846494,31,34
"indbun",0.73690975,31,34
"daejun",0.5324846,35,38
"comyel",0.99728066,36,39
"whtspa",0.27180985,37,40
"sonspa",0.9956215,38,41
"robgro",0.45447615,38,41
