"species_code","score","start_offset_sec","end_offset_sec"
"cangoo",0.4399561,28,31
"eastow",0.9994294,50,53
"comyel",0.9998219,54,57
"rewbla",0.32060152,64,67
"fiespa",0.9996487,68,71
"amerob",0.99891126,74,77
"acafly",0.32187408,96,99
"swathr",0.44996434,105,108
"houwre",0.7958288,139,142
"magwar",0.67932063,147,150
"bkcchi",0.8275776,149,152
"woothr",0.6409746,165,168
"amecro",0.9556402,183,186
"amered",0.48784316,184,187
"eawpew",0.7780566,188,191
"amegfi",0.5433898,197,200
"reevir1",0.9948959,208,211
"sonspa",0.3044401,218,221
