"species_code","score","start_offset_sec","end_offset_sec"
"whevir",0.7532181,88,91
"eastow",0.564595,115,118
"rethaw",0.35407388,167,170
"amegfi",0.9137744,188,191
"norcar",0.81381834,202,205
"amerob",0.5474778,205,208
"normoc",0.8434934,206,209
"comrav",0.26821607,206,209
"rebwoo",0.88938063,208,211
"orcori",0.31189632,223,226
"houspa",0.38725767,252,255
"rewbla",0.34471306,258,261
"warvir",0.52345234,261,264
"tuftit",0.834754,264,267
"grycat",0.9307375,273,276
"eawpew",0.99245787,278,281
"barswa",0.25481611,288,291
"brnthr",0.31849676,313,316
"chispa",0.63719887,325,328
"boboli",0.38650718,370,373
"blujay",0.99943894,474,477
"whbnut",0.990174,486,489
"carwre",0.9999907,578,581
"moudov",0.6137144,589,592
