"species_code","score","start_offset_sec","end_offset_sec"
"rewbla",0.97086126,5,8
"fiscro",0.8264137,5,8
"wilfly",0.99950665,9,12
"fiespa",0.9875358,19,22
"buggna",0.2760051,24,27
"yelwar",0.54565066,26,29
"treswa",0.99088544,27,30
"norcar",0.90229523,32,35
"comyel",0.95770246,42,45
"normoc",0.6921859,48,51
"easmea",0.25605786,49,52
"brnthr",0.34113044,50,53
"grycat",0.90906125,58,61
"purmar",0.99968994,61,64
"osprey",0.6300381,64,67
"amegfi",0.28212354,66,69
"yebcha",0.71389455,68,71
"amerob",0.44326377,68,71
"easblu",0.95631,70,73
"norbob",0.9910735,73,76
"whevir",0.3173711,78,81
"carwre",0.73634005,82,85
