"species_code","score","start_offset_sec","end_offset_sec"
"carwre",0.9989799,38,41
"buggna",0.9844275,170,173
"normoc",0.8288395,184,187
"amecro",0.99806106,222,225
"carchi",0.99977416,329,332
"haiwoo",0.99578315,382,385
"daejun",0.36453992,384,387
"chispa",0.5427602,390,393
"blujay",0.55478305,506,509
"orcori",0.5246119,513,516
"sonspa",0.47203335,587,590
"swawar",0.9077562,602,605
"moudov",0.6861044,787,790
"houwre",0.38682508,926,929
"swathr",0.80364746,942,945
"sumtan",0.9519702,978,981
"tuftit",0.8574502,1003,1006
"yebcuc",0.439188,1021,1024
"louwat",0.99900466,1066,1069
"norcar",0.979089,1108,1111
"rewbla",0.80117977,1166,1169
"comyel",0.9926449,1174,1177
"cedwax",0.80289954,1201,1204
"whtspa",0.38365623,1217,1220
"fiespa",0.88980526,1221,1224
"yetwar",0.92688423,1265,1268
"woothr",0.99091464,1312,1315
"bkcchi",0.53255427,1320,1323
"veery",0.5064446,1320,1323
"warvir",0.39588252,1327,1330
"reevir1",0.9548106,1341,1344
"indbun",0.99587405,1359,1362
"yetvir",0.99636495,1371,1374
"whevir",0.9999975,1406,1409
"prowar",0.75944996,1411,1414
"grycat",0.99999774,1448,1451
"norfli",0.8269097,1484,1487
"yelwar",0.7219884,1493,1496
"scatan",0.9641538,1553,1556
"amerob",0.7123234,1592,1595
"eastow",0.9530788,1612,1615
"amegfi",0.5436162,1702,1705
"comgra",0.97673935,1704,1707
