"species_code","score","start_offset_sec","end_offset_sec"
"daejun",0.9965025,62,65
"sonspa",0.99680334,114,117
"blujay",0.97718453,146,149
"brwhaw",0.25935465,153,156
"chswar",0.2732714,189,192
"olsfly",0.75551575,191,194
"reevir1",0.9974388,241,244
"rebnut",0.99633706,243,246
"yelwar",0.26341528,291,294
"swaspa",0.9142664,301,304
"grycat",0.36114454,311,314
"woothr",0.4209028,313,316
"redcro",0.9997319,343,346
"yebcha",0.41072905,375,378
"winwre3",0.53632843,393,396
"veery",0.6647516,410,413
"comyel",0.94925267,412,415
