"species_code","score","start_offset_sec","end_offset_sec"
"yelwar",0.9184043,0,3
"robgro",0.49815792,4,7
"norfli",0.9255152,17,20
"cedwax",0.34517252,30,33
"amerob",0.27730662,31,34
"blujay",0.9384749,33,36
"norcar",0.45868126,35,38
"sonspa",0.8633936,38,41
"ovenbi1",0.99383044,52,55
"indbun",0.9990084,55,58
"whbnut",0.6191303,55,58
"tuftit",0.71965754,60,63
"woothr",0.9158845,70,73
"comyel",0.99652934,73,76
"reevir1",0.9557743,88,91
"yebcha",0.84343755,93,96
"houspa",0.35314047,103,106
"warvir",0.47225598,105,108
"yetvir",0.92005444,144,147
"chswar",0.32416534,159,162
