"species_code","score","start_offset_sec","end_offset_sec"
"reevir1",0.99257326,10,13
"rebnut",0.79799473,11,14
"bkcchi",0.9993404,12,15
"amerob",0.7755629,15,18
"amegfi",0.68911403,16,19
"chispa",0.9912759,19,22
"norpar",0.41745296,26,29
"moudov",0.94259953,30,33
"scatan",0.9876433,38,41
"daejun",0.49887997,38,41
"bawwar",0.9994943,41,44
"sonspa",0.87749887,48,51
"indbun",0.41682827,48,51
"tuftit",0.3816152,52,55
"eastow",0.87224746,61,64
"chswar",0.99564797,70,73
"yelwar",0.5442986,77,80
"comyel",0.9977917,83,86
"aldfly",0.85983825,91,94
"rewbla",0.7284224,101,104
"redcro",0.99973464,107,110
