"species_code","score","start_offset_sec","end_offset_sec"
"whevir",0.99925894,5,8
"norcar",0.9445126,17,20
"chispa",0.9318244,21,24
"amecro",0.98286957,26,29
"moudov",0.7310549,27,30
"rebwoo",0.91027325,29,32
"tuftit",0.7878578,30,33
"rewbla",0.32178342,31,34
"whtspa",0.7177736,41,44
"fiespa",0.99728614,43,46
"eastow",0.26665267,44,47
"buggna",0.91977745,45,48
"blujay",0.9537195,49,52
"bnhcow",0.6468276,53,56
"brnthr",0.48065472,66,69
"normoc",0.65447825,89,92
"grycat",0.9999912,94,97
"pilwoo",0.8693961,115,118
"whbnut",0.44595,118,121
"amerob",0.4128053,185,188
"reevir1",0.9950645,221,224
"carwre",0.9165042,221,224
"cedwax",0.9934165,222,225
