"species_code","score","start_offset_sec","end_offset_sec"
"buggna",0.9999109,3,6
"eawpew",0.9527173,33,36
"amecro",0.36848974,36,39
"rewbla",0.7784936,85,88
"wilfly",0.2782237,100,103
"treswa",0.47416893,114,117
"easblu",0.98447007,121,124
"acafly",0.9799357,133,136
"norpar",0.29478723,162,165
"aldfly",0.26156673,245,248
"rebwoo",0.9158317,268,271
"warvir",0.43561593,323,326
"pilwoo",0.9857673,347,350
"reevir1",0.9864494,373,376
"ovenbi1",0.9987938,404,407
"btbwar",0.3132834,411,414
"easpho",0.7951323,425,428
"grycat",0.259744,445,448
"daejun",0.34602076,522,525
"louwat",0.5656329,537,540
"carwre",0.80897415,542,545
"tuftit",0.29869154,550,553
"scatan",0.9853209,551,554
"kenwar",0.67198896,573,576
