"species_code","score","start_offset_sec","end_offset_sec"
"reevir1",0.9754329,0,3
"chswar",0.99227494,4,7
"bkbcuc",0.8625405,4,7
"comyel",0.96614933,6,9
"comrav",0.9653876,7,10
"tuftit",0.88896453,8,11
"swaspa",0.48552966,8,11
"eastow",0.9103259,13,16
"sonspa",0.981298,19,22
"yelwar",0.7172428,19,22
"bkcchi",0.5174448,20,23
"prawar",0.3918588,21,24
"balori",0.3298476,23,26
"amerob",0.64307344,27,30
"woewar1",0.46521774,29,32
"whevir",0.31705102,30,33
"rewbla",0.39893758,31,34
"norcar",0.8966729,35,38
