"species_code","score","start_offset_sec","end_offset_sec"
"amecro",0.59260035,4,7
"herthr",0.9990185,8,11
"sonspa",0.2769784,9,12
"reevir1",0.9966394,10,13
"veery",0.6967222,15,18
"wiltur",0.55368805,15,18
"kenwar",0.5699586,44,47
"ovenbi1",0.9983329,56,59
"amerob",0.32753992,57,60
"woothr",0.6923481,84,87
"whtspa",0.3848774,93,96
"norcar",0.46087992,97,100
"swathr",0.6702174,120,123
"yebsap",0.95426136,122,125
"magwar",0.6578921,137,140
"bkbwar",0.96604353,141,144
"cedwax",0.5326001,145,148
"btbwar",0.9974394,155,158
"buhvir",0.9431671,164,167
"amered",0.9914052,167,170
"hoowar",0.9912689,168,171
"btnwar",0.91297156,178,181
