"species_code","score","start_offset_sec","end_offset_sec"
"woothr",0.99755293,8,11
"yebsap",0.93500155,18,21
"amerob",0.3458588,22,25
"amered",0.99196994,39,42
"grycat",0.4198994,113,116
"norcar",0.6649585,148,151
"ovenbi1",0.97769815,178,181
"norpar",0.74734485,190,193
"btnwar",0.9815084,196,199
"reevir1",0.9928868,204,207
"btbwar",0.9738272,209,212
"swathr",0.37738353,209,212
"bkbwar",0.598563,219,222
"hoowar",0.5673458,271,274
"bkcchi",0.74688506,292,295
"cerwar",0.4773191,310,313
"veery",0.9988596,311,314
"eastow",0.3704854,316,319
"scatan",0.993509,340,343
