"species_code","score","start_offset_sec","end_offset_sec"
"comyel",0.9870276,0,3
"bkcchi",0.85295534,7,10
"amerob",0.6379355,7,10
"buwwar",0.29949874,8,11
"rewbla",0.349417,9,12
"amered",0.33658847,9,12
"eawpew",0.67745423,12,15
"indbun",0.99517435,14,17
"norcar",0.77119434,19,22
"tuftit",0.51398444,21,24
"gockin",0.25744498,22,25
"fiespa",0.95727926,26,29
"yelwar",0.99159515,29,32
"balori",0.9120962,29,32
"orcori",0.47534233,29,32
"chswar",0.8376568,30,33
"robgro",0.9988766,34,37
"eastow",0.9984261,35,38
"sonspa",0.8619657,39,42
