"species_code","score","start_offset_sec","end_offset_sec"
"normoc",0.5448675,9,12
"houwre",0.9673053,11,14
"tuftit",0.9134915,11,14
"grycat",0.99998504,39,42
"woothr",0.52310437,39,42
"yelwar",0.39739937,39,42
"amerob",0.9935174,61,64
"linspa",0.2567712,63,66
"amegfi",0.7307013,72,75
"blujay",0.26215005,75,78
"dowwoo",0.99694276,80,83
"sonspa",0.93174684,83,86
"rewbla",0.9417081,84,87
"norcar",0.28483698,84,87
"ovenbi1",0.44355863,89,92
"bkcchi",0.42386183,93,96
"yebcha",0.27683768,97,100
"comyel",0.9975777,98,101
"swaspa",0.9999751,106,109
"carwre",0.95711595,107,110
