"species_code","score","start_offset_sec","end_offset_sec"
"bawwar",0.8880116,42,45
"woothr",0.99990267,68,71
"indbun",0.99915886,81,84
"fiespa",0.32561707,82,85
"easwpw1",0.9985837,89,92
"eawpew",0.9983596,90,93
"carwre",0.9807075,172,175
"eastow",0.9911355,237,240
"grycat",0.34896052,249,252
"woewar1",0.54803485,297,300
"chswar",0.5727748,316,319
"canwar",0.6230455,320,323
"norpar",0.29864812,328,331
"norcar",0.4681868,330,333
"purmar",0.9765721,367,370
"amered",0.9989032,372,375
"cerwar",0.9452223,428,431
"bkcchi",0.47558105,428,431
"amerob",0.30369592,430,433
"reevir1",0.9588606,446,449
"yelwar",0.4101835,472,475
"buwwar",0.7531895,476,479
"amegfi",0.32440674,513,516
"moudov",0.952962,521,524
"chispa",0.9720214,560,563
