"species_code","score","start_offset_sec","end_offset_sec"
"yelwar",0.44207343,3,6
"sedwre1",0.26078376,9,12
"grycat",0.9999861,15,18
"btbwar",0.44650507,30,33
"brnthr",0.7165056,31,34
"sonspa",0.93933076,47,50
"moudov",0.8260664,58,61
"indbun",0.9385473,64,67
"veery",0.61058074,66,69
"amerob",0.7611105,71,74
"comyel",0.99747205,73,76
"reevir1",0.8367546,80,83
"woothr",0.2629134,81,84
"cedwax",0.6389731,89,92
"blujay",0.6319387,98,101
"amecro",0.9857322,102,105
"amegfi",0.60883325,112,115
"bkcchi",0.9564242,114,117
"chispa",0.9002341,114,117
"chswar",0.9850895,120,123
"rewbla",0.25665778,127,130
