"species_code","score","start_offset_sec","end_offset_sec"
"tuftit",0.63491255,4,7
"sonspa",0.41807386,4,7
"kenwar",0.9468953,15,18
"whevir",0.45558167,20,23
"carwre",0.90322244,23,26
"blujay",0.99039096,27,30
"reevir1",0.27948922,28,31
"blugrb1",0.99022615,31,34
"orcori",0.6003208,36,39
"dowwoo",0.9995257,37,40
"cedwax",0.25717896,40,43
"amerob",0.27627146,41,44
"norcar",0.7328022,42,45
"houwre",0.60202366,42,45
"brnthr",0.37093544,44,47
"indbun",0.99981993,45,48
"yebcha",0.451137,45,48
"fiespa",0.26757666,45,48
"yelwar",0.43617466,50,53
"rebwoo",0.63135004,52,55
"woothr",0.9694573,53,56
