"species_code","score","start_offset_sec","end_offset_sec"
"bkcchi",0.30010766,21,24
"yebsap",0.33086154,25,28
"ovenbi1",0.9983212,67,70
"reevir1",0.99430895,137,140
"indbun",0.5362827,146,149
"amerob",0.46871716,209,212
"comyel",0.42209336,220,223
"cerwar",0.25290546,228,231
"btnwar",0.28836784,242,245
"hoowar",0.99434865,269,272
"scatan",0.9764007,277,280
"btbwar",0.9448287,289,292
"eawpew",0.99836236,299,302
"veery",0.93866956,306,309
"yetvir",0.25871688,345,348
"robgro",0.9965253,370,373
"tuftit",0.7888218,372,375
"rebwoo",0.8424167,377,380
"amered",0.9954791,384,387
"yelwar",0.30216974,398,401
