"species_code","score","start_offset_sec","end_offset_sec"
"sonspa",0.99072933,2,5
"chswar",0.7343498,7,10
"osprey",0.52900314,7,10
"yelwar",0.9851982,17,20
"reevir1",0.9900832,30,33
"woothr",0.27216703,34,37
"rewbla",0.7174419,51,54
"buwwar",0.9844965,54,57
"cedwax",0.683989,59,62
"fiespa",0.2835012,74,77
"tuftit",0.32049274,78,81
"norcar",0.98519087,84,87
"blujay",0.98664916,85,88
"moudov",0.5105548,104,107
"boboli",0.9383232,118,121
"comyel",0.9998763,125,128
"grycat",0.9995171,128,131
"carwre",0.32488763,130,133
"indbun",0.9817306,138,141
"balori",0.483394,139,142
"dowwoo",0.9960654,152,155
