"species_code","score","start_offset_sec","end_offset_sec"
"sonspa",0.54914856,10,13
"eastow",0.9899171,17,20
"amegfi",0.46007186,21,24
"norcar",0.4583927,23,26
"amecro",0.87271744,24,27
"magwar",0.69177526,31,34
"rewbla",0.46845892,41,44
"yelwar",0.39523232,49,52
"ovenbi1",0.41095734,54,57
"veery",0.3292748,57,60
"chswar",0.8884331,58,61
"fiespa",0.52431977,59,62
"grycat",0.8173477,72,75
"daejun",0.47246233,79,82
"bkcchi",0.3558267,79,82
"buwwar",0.35700855,82,85
"reevir1",0.3054469,87,90
"comyel",0.9996505,91,94
