"species_code","score","start_offset_sec","end_offset_sec"
"buggna",0.995706,17,20
"yetwar",0.94359213,24,27
"easpho",0.44165397,25,28
"tuftit",0.5585325,34,37
"bawwar",0.5169434,47,50
"norcar",0.25782627,50,53
"carchi",0.29936177,76,79
"norpar",0.9797931,85,88
"eastow",0.25484857,85,88
"hoowar",0.99736685,168,171
"yetvir",0.4740828,186,189
"acafly",0.9992273,195,198
"louwat",0.78973657,214,217
"houspa",0.9706556,239,242
"cerwar",0.34666246,272,275
"magwar",0.5275473,286,289
"comyel",0.99800867,288,291
"eawpew",0.999628,334,337
"mouwar",0.51355934,339,342
"buhvir",0.6713096,361,364
"warvir",0.5317477,365,368
"sonspa",0.98465866,381,384
"btnwar",0.37950847,387,390
"norfli",0.8875562,397,400
"ovenbi1",0.54325444,416,419
"indbun",0.9972929,436,439
"amered",0.98003983,440,443
"reevir1",0.96750486,452,455
"carwre",0.9845703,469,472
"bnhcow",0.78345954,479,482
