"species_code","score","start_offset_sec","end_offset_sec"
"amerob",0.81762695,6,9
"veery",0.5284258,7,10
"brncre",0.25777423,23,26
"eursta",0.6759756,109,112
"daejun",0.7974691,117,120
"norcar",0.9441958,134,137
"woewar1",0.4201502,143,146
"chispa",0.80476284,150,153
"amegfi",0.32740316,185,188
"yebcuc",0.99625325,203,206
"comrav",0.9601277,212,215
"grbher3",0.95276046,229,232
"btnwar",0.40345117,328,331
"btbwar",0.92832065,361,364
"sonspa",0.31459272,447,450
"eastow",0.99411994,448,451
"woothr",0.5761634,506,509
"eawpew",0.5411506,518,521
"cerwar",0.9996767,562,565
"whbnut",0.9977259,590,593
"scatan",0.99358094,596,599
"acafly",0.39765933,604,607
"indbun",0.99588615,632,635
"haiwoo",0.6675192,632,635
"reevir1",0.99727917,650,653
"buggna",0.90703475,676,679
"rebwoo",0.531437,690,693
