"species_code","score","start_offset_sec","end_offset_sec"
"sonspa",0.9978155,1,4
"amerob",0.5516041,2,5
"bkcchi",0.79296106,19,22
"yelwar",0.952915,22,25
"robgro",0.34122494,27,30
"rewbla",0.7217553,29,32
"aldfly",0.9999178,33,36
"yebcha",0.40564278,37,40
"buwwar",0.98533624,39,42
"woothr",0.84660554,40,43
"whtspa",0.30079556,51,54
"comyel",0.9982376,55,58
"cedwax",0.99378425,70,73
"scatan",0.83311766,72,75
"amegfi",0.9897576,75,78
"amecro",0.98500514,75,78
"winwre3",0.3455522,79,82
"linspa",0.2771024,102,105
"henspa",0.9767955,104,107
"ovenbi1",0.46710756,112,115
"normoc",0.5511955,116,119
"norcar",0.97699666,152,155
"savspa",0.97615755,156,159
"blujay",0.87514514,164,167
"graspa",0.46529362,181,184
"herthr",0.29181847,203,206
"vesspa",0.6319841,205,208
"prawar",0.46287066,206,209
"reevir1",0.99532574,221,224
"eastow",0.99196804,237,240
"canwar",0.2596309,239,242
"naswar",0.5027598,240,243
"fiespa",0.9998561,259,262
"bawwar",0.9516822,285,288
"grycat",0.9976549,287,290
"tuftit",0.44110736,289,292
"daejun",0.72538394,291,294
"btnwar",0.7909033,299,302
