"species_code","score","start_offset_sec","end_offset_sec"
"comyel",0.35362983,0,3
"carwre",0.46776393,1,4
"robgro",0.28123635,3,6
"bkcchi",0.33830735,5,8
"yelwar",0.99750364,6,9
"grycat",0.99913466,8,11
"sonspa",0.99469167,10,13
"amegfi",0.9795095,13,16
"rewbla",0.3800985,14,17
"norcar",0.91411614,15,18
"amerob",0.5537867,18,21
"yebcha",0.9992171,19,22
"warvir",0.37499684,19,22
"indbun",0.9331956,25,28
"comgra",0.9986545,26,29
"houwre",0.90641165,27,30
"reevir1",0.5351109,27,30
"cedwax",0.98793983,28,31
