"species_code","score","start_offset_sec","end_offset_sec"
"eastow",0.9964359,8,11
"whtspa",0.74958676,9,12
"pinwar",0.25539055,10,13
"eawpew",0.98845047,19,22
"scatan",0.9940202,28,31
"sumtan",0.25945935,35,38
"norcar",0.99194884,43,46
"carwre",0.52524394,43,46
"carchi",0.99734104,46,49
"whbnut",0.99999225,55,58
"reevir1",0.69697344,66,69
"chispa",0.3084563,69,72
"sonspa",0.41707224,70,73
"tuftit",0.9996002,73,76
"bkcchi",0.33189863,79,82
"yetvir",0.32126752,82,85
"houwre",0.44211933,84,87
"blujay",0.93421686,85,88
"comyel",0.7424078,87,90
"normoc",0.898173,91,94
"amecro",0.29065308,93,96
"bnhcow",0.54570633,95,98
"amegfi",0.37380773,95,98
"balori",0.67136395,101,104
