"species_code","score","start_offset_sec","end_offset_sec"
"eastow",0.99142027,75,78
"buwwar",0.47222614,86,89
"carwre",0.2741171,131,134
"woothr",0.9999995,157,160
"comyel",0.7581228,157,160
"tuftit",0.2699856,159,162
"yelwar",0.68347955,160,163
"rewbla",0.3763587,160,163
"rebnut",0.36415264,184,187
"easwpw1",0.9514339,216,219
"prowar",0.50964934,289,292
"purmar",0.26891762,300,303
"fiespa",0.99249375,308,311
"houwre",0.46255058,314,317
"indbun",0.97771734,327,330
"yebcha",0.94850564,328,331
"buggna",0.9759571,362,365
"grycat",0.9138844,379,382
"norcar",0.96785396,380,383
