"species_code","score","start_offset_sec","end_offset_sec"
"blugrb1",0.33785042,6,9
"woothr",0.73280114,10,13
"robgro",0.40294158,17,20
"whevir",0.28116363,38,41
"moudov",0.34617874,115,118
"marwre",0.99999297,121,124
"virrai",0.9977032,144,147
"cedwax",0.9288253,164,167
"amerob",0.57866156,164,167
"comyel",0.75995225,176,179
"leabit",0.78263634,193,196
"swaspa",0.9957446,205,208
"comgal1",0.6762828,209,212
"normoc",0.48534173,221,224
"rewbla",0.9919148,233,236
"eursta",0.45706627,239,242
"sonspa",0.54565257,240,243
