"species_code","score","start_offset_sec","end_offset_sec"
"wilfly",0.9949394,0,3
"rewbla",0.9957323,2,5
"vesspa",0.34201795,24,27
"clcspa",0.9975423,28,31
"comyel",0.9882143,32,35
"yebcha",0.25871143,33,36
"amegfi",0.9946912,35,38
"blujay",0.33364668,35,38
"sonspa",0.9946406,42,45
"swaspa",0.910112,49,52
"herthr",0.53786904,61,64
"boboli",0.28605154,71,74
"comgra",0.36420706,73,76
"amecro",0.98063225,76,79
"redcro",0.90259236,91,94
"houfin",0.6660999,91,94
"fiespa",0.996627,95,98
"whwcro",0.36988503,112,115
