"species_code","score","start_offset_sec","end_offset_sec"
"amegfi",0.31424698,8,11
"eursta",0.97281694,10,13
"rufgro",0.73718524,46,49
"cangoo",0.72809696,52,55
"rewbla",0.93775564,56,59
"bcnher",0.80951697,57,60
"houspa",0.41572398,68,71
"cedwax",0.86976296,73,76
"norcar",0.51937073,73,76
"sonspa",0.97640204,84,87
"bkcchi",0.6605328,90,93
"whtspa",0.42849594,91,94
"prowar",0.99701446,102,105
"warvir",0.9415149,109,112
"carwre",0.2810768,129,132
"tuftit",0.27713838,129,132
"blujay",0.94205254,145,148
"buggna",0.8193821,156,159
"swathr",0.32469383,177,180
"comyel",0.67541677,179,182
"amerob",0.9030505,196,199
"balori",0.82372165,218,221
"yelwar",0.6032136,218,221
"reevir1",0.93717515,223,226
"grcfly",0.61347765,226,229
"grycat",0.98132235,229,232
"amered",0.9661586,233,236
