"species_code","score","start_offset_sec","end_offset_sec"
"blujay",0.6332329,21,24
"norfli",0.89037305,23,26
"yebcha",0.5037076,29,32
"grcfly",0.90951127,37,40
"whbnut",0.5993033,40,43
"rebwoo",0.86033094,84,87
"carwre",0.9944471,94,97
"tuftit",0.5519359,101,104
"fiscro",0.5734191,102,105
"kinrai4",0.36424568,106,109
"orcori",0.7101038,114,117
"belkin1",0.8844755,125,128
"reevir1",0.9439571,129,132
"purmar",0.37453023,145,148
"brnthr",0.92435074,161,164
"balori",0.37857544,164,167
"brwhaw",0.60339993,170,173
"killde",0.47841495,171,174
"normoc",0.9917012,196,199
"grnher",0.4118418,237,240
