"species_code","score","start_offset_sec","end_offset_sec"
"grycat",0.4904498,5,8
"purmar",0.39680672,15,18
"rebwoo",0.7506269,35,38
"norcar",0.5244659,60,63
"amerob",0.7735959,74,77
"carwre",0.79965425,100,103
"greyel",0.96737814,116,119
"cedwax",0.69431704,128,131
"monpar",0.69575304,138,141
"blujay",0.6700019,143,146
"normoc",0.9952134,157,160
"sonspa",0.8995918,172,175
"wilfly",0.9961571,177,180
"yebcha",0.6634135,187,190
"amegfi",0.32968146,209,212
"easblu",0.32303846,258,261
"warvir",0.3722775,259,262
"perfal",0.44382253,334,337
"bnhcow",0.9465782,356,359
