"species_code","score","start_offset_sec","end_offset_sec"
"comgra",0.48194426,53,56
"houspa",0.704228,108,111
"wesmea",0.25653332,142,145
"normoc",0.99933475,184,187
"rebwoo",0.782988,195,198
"blujay",0.7401105,199,202
"grycat",0.46702003,202,205
"carwre",0.84719765,264,267
"yetvir",0.29438177,273,276
"easblu",0.9892813,310,313
"killde",0.60720795,349,352
"buggna",0.42744482,352,355
"brnthr",0.8129595,364,367
"tuftit",0.6050277,368,371
"easpho",0.92129564,493,496
"orcori",0.64019495,570,573
"amerob",0.35375828,662,665
"norfli",0.327055,723,726
"norcar",0.81397974,804,807
"chispa",0.37235665,885,888
"graspa",0.2823066,938,941
"nrwswa",0.31507328,939,942
"yebcha",0.90618634,1018,1021
"houfin",0.42571858,1082,1085
