"species_code","score","start_offset_sec","end_offset_sec"
"amecro",0.29983687,60,63
"yebcha",0.5353696,116,119
"prowar",0.3022818,181,184
"prawar",0.5408337,260,263
"dickci",0.9261107,264,267
"fiespa",0.29447868,268,271
"bnhcow",0.30755916,527,530
"moudov",0.5937861,528,531
"buggna",0.56732905,606,609
"buwwar",0.6068046,633,636
"norcar",0.2949586,673,676
"amegfi",0.90776545,737,740
"whevir",0.8014941,783,786
"eastow",0.88430583,893,896
"woothr",0.99995947,896,899
"brnthr",0.3005696,931,934
"gowwar",0.90412974,960,963
"grycat",0.4941547,984,987
