"species_code","score","start_offset_sec","end_offset_sec"
"comrav",0.26185825,3,6
"easblu",0.29818225,91,94
"cedwax",0.31594315,100,103
"grnher",0.3109785,164,167
"swaspa",0.93303835,249,252
"moudov",0.28169596,402,405
"nrwswa",0.6081756,447,450
"bnhcow",0.3644305,589,592
"yebcha",0.3227563,688,691
"balori",0.40460798,780,783
"chswar",0.2898485,818,821
"yetvir",0.77906805,843,846
"aldfly",0.32350728,947,950
"y00475",0.28854868,971,974
"commer",0.45074102,1086,1089
"orcori",0.6508171,1126,1129
"leabit",0.88381666,1236,1239
"yelwar",0.37208933,1264,1267
"hoomer",0.7839766,1277,1280
"rewbla",0.6556071,1286,1289
"warvir",0.6460987,1350,1353
"pibgre",0.54068977,1366,1369
