"species_code","score","start_offset_sec","end_offset_sec"
"normoc",0.9923698,20,23
"lesyel",0.3476653,28,31
"purmar",0.4411188,38,41
"easmea",0.876893,71,74
"reshaw",0.70002604,87,90
"bkcchi",0.49558648,120,123
"whbnut",0.45874783,122,125
"easpho",0.85006183,127,130
"eastow",0.94439036,136,139
"easblu",0.9818287,157,160
"norbob",0.26776722,166,169
"brnthr",0.62086207,174,177
"norfli",0.9566218,183,186
"eursta",0.26805684,199,202
"carwre",0.81236345,208,211
"osprey",0.39521983,235,238
"chispa",0.47851908,237,240
"balori",0.74636155,244,247
