"species_code","score","start_offset_sec","end_offset_sec"
"chswar",0.5651421,5,8
"yetwar",0.31656536,8,11
"amered",0.2682095,50,53
"buwwar",0.28235176,145,148
"pilwoo",0.85145164,148,151
"ovenbi1",0.257394,177,180
"mouwar",0.34828162,207,210
"comyel",0.5382224,216,219
"magwar",0.718982,218,221
"nrwswa",0.97899276,220,223
"yelwar",0.8953077,256,259
"acafly",0.26470807,271,274
"naswar",0.71885675,297,300
"prowar",0.30266395,306,309
"indbun",0.7149407,338,341
"chiswi",0.8444467,359,362
"norcar",0.3175426,361,364
