"species_code","score","start_offset_sec","end_offset_sec"
"eursta",0.43331605,3,6
"normoc",0.9977933,40,43
"merlin",0.39711022,50,53
"easkin",0.25427496,149,152
"grcfly",0.99439263,155,158
"osprey",0.42625985,156,159
"easblu",0.94567615,193,196
"comyel",0.33651623,198,201
"amerob",0.36700517,206,209
"brnthr",0.61907727,229,232
"blujay",0.9382288,242,245
"boboli",0.54036283,278,281
"houspa",0.7782244,284,287
"belkin1",0.9949168,302,305
"norcar",0.8994971,324,327
"balori",0.57498527,330,333
"treswa",0.9941082,362,365
"easpho",0.9979213,367,370
"norfli",0.30587834,381,384
"grycat",0.56851006,410,413
"whbnut",0.3168678,431,434
"rebwoo",0.51798964,447,450
"purmar",0.84045124,459,462
