"species_code","score","start_offset_sec","end_offset_sec"
"houfin",0.38055083,13,16
"eursta",0.26072365,19,22
"reevir1",0.4534902,22,25
"kinrai4",0.3480422,42,45
"clarai11",0.39488348,44,47
"reshaw",0.78367746,51,54
"brnthr",0.44760278,67,70
"chiswi",0.65273947,102,105
"easblu",0.84689033,120,123
"marwre",0.38811007,143,146
"osprey",0.27371684,150,153
"baleag",0.28281787,152,155
"easpho",0.9978981,157,160
"carwre",0.93589985,164,167
"amerob",0.5396493,167,170
"rethaw",0.855678,171,174
"normoc",0.93898845,184,187
"tuftit",0.94528455,200,203
"grcfly",0.61280876,206,209
"norfli",0.26265046,208,211
"norcar",0.45677844,228,231
