"species_code","score","start_offset_sec","end_offset_sec"
"purmar",0.85341626,1,4
"veery",0.70076346,5,8
"easkin",0.85059,85,88
"blujay",0.6976936,102,105
"norfli",0.97888607,116,119
"yebcha",0.56235,124,127
"normoc",0.96086377,126,129
"reevir1",0.71728516,140,143
"norcar",0.8930384,147,150
"comyel",0.71193814,154,157
"easblu",0.9957877,160,163
"killde",0.9950812,172,175
"eastow",0.60711646,177,180
"orcori",0.7933953,195,198
"rewbla",0.46693808,197,200
"houspa",0.9416829,249,252
"rebwoo",0.7140378,262,265
"amerob",0.3512223,277,280
"cedwax",0.8020407,299,302
