"species_code","score","start_offset_sec","end_offset_sec"
"cerwar",0.33818924,36,39
"woothr",0.60593265,47,50
"ovenbi1",0.93324345,131,134
"btnwar",0.96874106,167,170
"redcro",0.26741245,259,262
"magwar",0.28952876,263,266
"bkbwar",0.2980354,342,345
"buhvir",0.7480966,425,428
"reevir1",0.936843,462,465
"phivir",0.2626734,524,527
"btbwar",0.37129977,641,644
"eawpew",0.37309,650,653
"bawwar",0.66081935,712,715
"swathr",0.9999095,718,721
"scatan",0.4405226,796,799
"herthr",0.7804927,895,897.79201814059
