"species_code","score","start_offset_sec","end_offset_sec"
"amerob",0.27763265,8,11
"brnthr",0.43024966,18,21
"comyel",0.39256945,23,26
"sposan",0.80949634,27,30
"rebwoo",0.6596393,34,37
"amekes",0.53870827,66,69
"killde",0.9537103,67,70
"merlin",0.326415,67,70
"norfli",0.6248305,80,83
"normoc",0.960062,86,89
"yebcha",0.48396558,87,90
"tuftit",0.6708247,90,93
"greyel",0.6297706,94,97
"treswa",0.26598793,113,116
"grycat",0.30719543,131,134
"orcori",0.6018669,140,143
"balori",0.44970435,140,143
"belkin1",0.62295884,153,156
"carwre",0.26276356,164,167
"buggna",0.5630562,186,189
