"species_code","score","start_offset_sec","end_offset_sec"
"easblu",0.9922482,137,140
"sonspa",0.97035056,166,169
"vesspa",0.41903648,212,215
"warvir",0.42657247,283,286
"henspa",0.40193602,415,418
"leabit",0.56968373,468,471
"treswa",0.3752845,602,605
"amerob",0.5211924,757,760
"carchi",0.94899887,785,788
"grycat",0.9869962,865,868
"rinduc",0.57160085,890,893
"chiswi",0.2668774,1192,1195
"clcspa",0.42408594,1263,1266
"boboli",0.8748184,1285,1288
"cliswa",0.3445004,1314,1317
"wilfly",0.5328529,1360,1363
