"species_code","score","start_offset_sec","end_offset_sec"
"mallar3",0.3227919,6,9
"balori",0.5686141,34,37
"easblu",0.54292506,34,37
"normoc",0.98924553,48,51
"moudov",0.6226901,90,93
"amerob",0.31446514,113,116
"easpho",0.37464008,122,125
"easkin",0.3445335,131,134
"tuftit",0.74007946,143,146
"orcori",0.58659095,182,185
"grycat",0.57882065,192,195
"brnthr",0.5263526,192,195
"cliswa",0.9288592,208,211
"warvir",0.25170648,266,269
"whbnut",0.5466352,273,276
"yebcha",0.53614515,275,278
"belkin1",0.99981445,315,318
"norfli",0.9230301,321,324
"grcfly",0.997624,332,335
"blujay",0.6377502,346,349
