"species_code","score","start_offset_sec","end_offset_sec"
"btnwar",0.48707294,49,52
"fiespa",0.2771602,104,107
"magwar",0.33925918,106,109
"btbwar",0.38471118,165,168
"norpar",0.66797864,189,192
"eawpew",0.85950094,225,228
"winwre3",0.26570907,236,239
"linspa",0.25021744,432,435
"hoowar",0.38823575,438,441
"cedwax",0.9295317,514,517
"yebfly",0.5321367,560,563
"canwar",0.56316036,668,671
"rethaw",0.39492774,730,733
"comyel",0.9948748,738,741
"naswar",0.25647923,752,755
"yerwar",0.81111073,765,768
"blujay",0.31723362,771,774
"prawar",0.2957702,913,916
"chswar",0.58397216,941,944
"whtspa",0.41071782,948,951
"gowwar",0.4317957,979,982
"phivir",0.3712495,1157,1160
