"species_code","score","start_offset_sec","end_offset_sec"
"norcar",0.79910237,5,8
"fiespa",0.8844703,8,11
"buwwar",0.67694926,10,13
"gowwar",0.28317222,10,13
"bawwar",0.25053012,11,14
"indbun",0.96761626,12,15
"dowwoo",0.9677585,41,44
"canwar",0.27597395,45,48
"yebcuc",0.75968534,65,68
"whrsan",0.36618638,86,89
"yelwar",0.29760513,159,162
"osprey",0.91548145,277,280
"balori",0.29696563,279,282
"orcori",0.47759247,286,289
"amegfi",0.890244,311,314
"houfin",0.3459201,315,318
"naswar",0.42881203,324,327
"wooduc",0.41089612,330,333
"grcfly",0.9921405,336,339
