"species_code","score","start_offset_sec","end_offset_sec"
"eastow",0.7514117,103,106
"veery",0.9998048,458,461
"brwhaw",0.25147787,475,478
"btbwar",0.96081316,517,520
"scatan",0.8055652,574,577
"grcfly",0.29171908,634,637
"woothr",0.46877894,815,818
"ovenbi1",0.3745836,883,886
"hoowar",0.30857193,890,893
"cerwar",0.26534873,1027,1030
"amered",0.9458954,1145,1148
"bkbwar",0.4435074,1183,1186
"norpar",0.27807578,1203,1206
"swathr",0.30099484,1219,1222
"whbnut",0.4427433,1408,1411
"bkcchi",0.8844348,1409,1412
"easblu",0.5524261,1432,1435
