"species_code","score","start_offset_sec","end_offset_sec"
"yebcuc",0.46573198,56,59
"whbnut",0.6663274,152,155
"bkbcuc",0.4732896,179,182
"wiltur",0.285556,179,182
"yebcha",0.9994747,244,247
"eastow",0.9225013,349,352
"scatan",0.68990993,359,362
"robgro",0.84721744,498,501
"hoowar",0.987381,521,524
"kenwar",0.9626691,652,655
"norfli",0.59808916,662,665
"btnwar",0.9466857,729,732
"bnhcow",0.34489056,729,732
"ovenbi1",0.39062253,739,742
"woothr",0.33842844,739,742
"amecro",0.5711187,751,754
"reevir1",0.29363665,769,772
"prawar",0.98362386,948,951
"mallar3",0.27290452,965,968
"moudov",0.42209926,974,977
"rehwoo",0.5072545,1054,1057
