"species_code","score","start_offset_sec","end_offset_sec"
"easpho",0.9996377,1,4
"norfli",0.8446259,59,62
"solsan",0.9919253,72,75
"sposan",0.59743685,81,84
"normoc",0.98258346,118,121
"brnthr",0.28177366,127,130
"balori",0.6120441,129,132
"houfin",0.42834303,131,134
"belkin1",0.4754596,134,137
"rebwoo",0.40347257,135,138
"rehwoo",0.39477107,135,138
"easblu",0.99902344,154,157
"blujay",0.76517856,175,178
"norcar",0.7899672,216,219
"killde",0.9944336,228,231
"comgra",0.44454432,235,238
"eursta",0.76881766,261,264
