"species_code","score","start_offset_sec","end_offset_sec"
"grbher3",0.29298988,0,3
"buhvir",0.34836963,24,27
"robgro",0.97122866,80,83
"veery",0.4089527,85,88
"cerwar",0.4358184,117,120
"bkbwar",0.6002561,186,189
"magwar",0.38713884,197,200
"louwat",0.9181276,220,223
"ovenbi1",0.5609334,247,250
"hoowar",0.97152406,261,264
"scatan",0.77240705,264,267
"yebcuc",0.9636436,288,291
"yebsap",0.4485597,322,325
"chswar",0.8916036,381,384
"btbwar",0.9495167,516,519
"balori",0.8768574,517,520
"btnwar",0.4693127,527,530
