"species_code","score","start_offset_sec","end_offset_sec"
"grycat",0.7308069,5,8
"yebcuc",0.9956002,85,88
"buggna",0.40487507,95,98
"prowar",0.6417721,194,197
"chispa",0.49859366,199,202
"bkbwar",0.26990467,203,206
"yebcha",0.348445,270,273
"whevir",0.99584645,317,320
"sumtan",0.9703076,464,467
"amecro",0.3953199,698,701
"leafly",0.25494978,843,846
"normoc",0.48651555,1070,1073
"scatan",0.25073585,1141,1144
"orcori",0.7736079,1227,1230
"kenwar",0.3931309,1303,1306
"louwat",0.7717166,1320,1323
"grcfly",0.5486146,1349,1352
