"species_code","score","start_offset_sec","end_offset_sec"
"savspa",0.57050645,147,150
"eastow",0.42857927,160,163
"sora",0.3555825,187,190
"aldfly",0.9904274,227,230
"swaspa",0.6752918,240,243
"yebcha",0.76659757,347,350
"wilfly",0.7393792,373,376
"boboli",0.6894796,474,477
"gowwar",0.26148316,479,482
"grnher",0.26870176,537,540
"grycat",0.990914,554,557
"indbun",0.5794914,574,577
"orcori",0.4156476,578,581
"balori",0.25032586,578,581
"sonspa",0.9910642,580,583
"moudov",0.81636226,586,589
"brnthr",0.37251148,605,608
