"species_code","score","start_offset_sec","end_offset_sec"
"ovenbi1",0.25247863,56,59
"doccor",0.28437114,103,106
"comgra",0.4273625,179,182
"virrai",0.7125809,187,190
"grnher",0.84555125,189,192
"aldfly",0.92227596,190,193
"cedwax",0.53038317,194,197
"sancra",0.3123807,220,223
"buwtea",0.3345613,238,241
"moudov",0.31118578,265,268
"yetvir",0.9764339,301,304
"grbher3",0.69911194,315,318
"treswa",0.7707564,317,320
"comgal1",0.98638296,322,325
"yebsap",0.57958025,368,371
"pibgre",0.3583006,409,412
"wooduc",0.2564153,412,415
