"species_code","score","start_offset_sec","end_offset_sec"
"rthhum",0.9084629,5,8
"eawpew",0.90925175,13,16
"comyel",0.90705794,23,26
"btbwar",0.9863713,31,34
"rehwoo",0.92348564,43,46
"yebsap",0.7811529,44,47
"blujay",0.91771793,62,65
"cedwax",0.5043918,87,90
"brwhaw",0.9970597,106,109
"reevir1",0.96918094,122,125
"amegfi",0.9975747,130,133
"killde",0.51160914,145,148
"chswar",0.9637844,156,159
"bkcchi",0.85032964,178,181
"ovenbi1",0.9964838,203,206
"norfli",0.99405223,217,220
"yerwar",0.51437736,231,234
"veery",0.9940371,271,274
"btnwar",0.9234759,309,312
