"species_code","score","start_offset_sec","end_offset_sec"
"amerob",0.9729636,18,21
"reevir1",0.7927995,30,33
"purmar",0.55767095,34,37
"cedwax",0.8189251,43,46
"eawpew",0.94880396,48,51
"eursta",0.96899116,49,52
"buggna",0.9971158,58,61
"warvir",0.9997213,91,94
"whtspa",0.6759785,94,97
"grycat",0.9305983,113,116
"hoowar",0.67109096,135,138
"rewbla",0.7335716,147,150
"amegfi",0.9975386,148,151
"bawwar",0.99664974,151,154
"bkcchi",0.6300971,164,167
"sonspa",0.9972106,200,203
"belkin1",0.9599928,222,225
"osprey",0.99695677,224,227
"houfin",0.852433,236,239
"yelwar",0.97682416,294,297
