"species_code","score","start_offset_sec","end_offset_sec"
"sonspa",0.9371623,39,42
"bkcchi",0.9915225,61,64
"bkbwar",0.73063093,79,82
"mouwar",0.999591,85,88
"chispa",0.92899823,101,104
"wlswar",0.5455387,126,129
"daejun",0.99787307,145,148
"naswar",0.76797175,192,195
"chswar",0.9806096,193,196
"yelwar",0.8513892,229,232
"ovenbi1",0.9998085,235,238
"whtspa",0.9071459,326,329
"veery",0.8698916,365,368
"moudov",0.74746025,379,382
"brncre",0.93368405,416,419
"gockin",0.9975579,434,437
"blujay",0.7840722,445,448
