"species_code","score","start_offset_sec","end_offset_sec"
"blujay",0.92952335,29,32
"naswar",0.77273446,36,39
"swathr",0.7274737,36,39
"gockin",0.92484426,57,60
"herthr",0.5600227,89,92
"bkbwar",0.99273056,90,93
"ovenbi1",0.94872516,98,101
"winwre3",0.9999985,124,127
"eastow",0.6242382,127,130
"woothr",0.5807054,166,169
"osprey",0.624998,235,238
"whtspa",0.9677447,240,243
"reevir1",0.9808694,252,255
"aldfly",0.63006276,254,257
"eawpew",0.7645553,275,278
"olsfly",0.9948116,295,298
"yebfly",0.999615,309,312
"magwar",0.97706443,315,318
"cangoo",0.7018554,351,354
"yebsap",0.5168119,398,401
"rebnut",0.8198213,401,404
