"species_code","score","start_offset_sec","end_offset_sec"
"norcar",0.9992585,42,45
"veery",0.68883795,74,77
"buggna",0.9523851,91,94
"prowar",0.6048395,101,104
"rebwoo",0.99703956,131,134
"carwre",0.98996747,137,140
"yetwar",0.55397725,187,190
"amecro",0.9935124,220,223
"amerob",0.55657643,230,233
"bawwar",0.92425925,266,269
"reevir1",0.99740493,290,293
"blujay",0.9999225,309,312
"btnwar",0.5637229,328,331
"rthhum",0.52992386,336,339
"yebcha",0.6772657,354,357
"hoowar",0.96036744,360,363
"scatan",0.9717902,464,467
"tuftit",0.99691045,507,510
"eastow",0.91000223,540,543
